code_insee,nom_commune
77229,LA HOUSSAYE-EN-BRIE
77230,ICHY
77231,ISLES-LES-MELDEUSES
77232,ISLES-LÈS-VILLENOY
77233,IVERNY
77234,JABLINES
77235,JAIGNES
77236,JAULNES
77237,JOSSIGNY
77238,JOUARRE
77239,JOUY-LE-CHÂTEL
77240,JOUY-SUR-MORIN
77241,JUILLY
77242,JUTIGNY
77243,LAGNY-SUR-MARNE
77244,LARCHANT
77245,LAVAL-EN-BRIE
77246,LÉCHELLE
77247,LESCHEROLLES
77248,LESCHES
77249,LÉSIGNY
77250,LEUDON-EN-BRIE
77251,LIEUSAINT
77252,LIMOGES-FOURCHES
77253,LISSY
77254,LIVERDY-EN-BRIE
77255,LIVRY-SUR-SEINE
77256,LIZINES
77257,LIZY-SUR-OURCQ
77258,LOGNES
77259,LONGPERRIER
77260,LONGUEVILLE
77261,LORREZ-LE-BOCAGE-PRÉAUX
77262,LOUAN-VILLEGRUIS-FONTAINE
77263,LUISETAINES
77264,LUMIGNY-NESLES-ORMEAUX
77265,LUZANCY
77266,MACHAULT
77267,LA MADELEINE-SUR-LOING
77268,MAGNY-LE-HONGRE
77269,MAINCY
77270,MAISONCELLES-EN-BRIE
77271,MAISONCELLES-EN-GÂTINAIS
77272,MAISON-ROUGE
77273,MARCHÉMORET
77274,MARCILLY
77275,LES MARÊTS
77276,MAREUIL-LÈS-MEAUX
77277,MARLES-EN-BRIE
77278,MAROLLES-EN-BRIE
77279,MAROLLES-SUR-SEINE
77280,MARY-SUR-MARNE
77281,MAUPERTHUIS
77282,MAUREGARD
77283,MAY-EN-MULTIEN
77284,MEAUX
77285,LE MÉE-SUR-SEINE
77286,MEIGNEUX
77287,MEILLERAY
77288,MELUN
77289,MELZ-SUR-SEINE
77290,MÉRY-SUR-MARNE
77291,LE MESNIL-AMELOT
77292,MESSY
77293,MISY-SUR-YONNE
77294,MITRY-MORY
77295,MOISENAY
77296,MOISSY-CRAMAYEL
77297,MONDREVILLE
77298,MONS-EN-MONTOIS
77300,MONTCEAUX-LÈS-MEAUX
77301,MONTCEAUX-LÈS-PROVINS
77302,MONCOURT-FROMONVILLE
77303,MONTDAUPHIN
77304,MONTENILS
77305,MONTEREAU-FAULT-YONNE
77306,MONTEREAU-SUR-LE-JARD
77307,MONTÉVRAIN
77308,MONTGÉ-EN-GOËLE
77309,MONTHYON
77310,MONTIGNY-LE-GUESDIER
77311,MONTIGNY-LENCOUP
77312,MONTIGNY-SUR-LOING
77313,MONTMACHOUX
77314,MONTOLIVET
77315,MONTRY
77316,MORET-LOING-ET-ORVANNE
77317,MORMANT
77318,MORTCERF
77319,MORTERY
77320,MOUROUX
77321,MOUSSEAUX-LÈS-BRAY
77322,MOUSSY-LE-NEUF
77323,MOUSSY-LE-VIEUX
77325,MOUY-SUR-SEINE
77326,NANDY
77327,NANGIS
77328,NANTEAU-SUR-ESSONNE
77329,NANTEAU-SUR-LUNAIN
77330,NANTEUIL-LÈS-MEAUX
77331,NANTEUIL-SUR-MARNE
77332,NANTOUILLET
77333,NEMOURS
77335,CHAUCONIN-NEUFMONTIERS
77336,NEUFMOUTIERS-EN-BRIE
77337,NOISIEL
77338,NOISY-RUDIGNON
77339,NOISY-SUR-ÉCOLE
77340,NONVILLE
77341,NOYEN-SUR-SEINE
77342,OBSONVILLE
77343,OCQUERRE
77344,OISSERY
77345,ORLY-SUR-MORIN
77347,LES ORMES-SUR-VOULZIE
77348,ORMESSON
77349,OTHIS
77350,OZOIR-LA-FERRIÈRE
77352,OZOUER-LE-VOULGIS
77353,PALEY
77354,PAMFOU
77355,PAROY
77356,PASSY-SUR-SEINE
77357,PÉCY
77358,PENCHARD
77359,PERTHES
77360,PÉZARCHES
77361,PIERRE-LEVÉE
77363,LE PIN
77364,LE PLESSIS-AUX-BOIS
77365,LE PLESSIS-FEU-AUSSOUX
77366,LE PLESSIS-L'ÉVÊQUE
77367,LE PLESSIS-PLACY
77368,POIGNY
77369,POINCY
77370,POLIGNY
77371,POMMEUSE
77372,POMPONNE
77373,PONTAULT-COMBAULT
77374,PONTCARRÉ
77376,PRÉCY-SUR-MARNE
77377,PRESLES-EN-BRIE
77378,PRINGY
77379,PROVINS
77380,PUISIEUX
77381,QUIERS
77382,QUINCY-VOISINS
77383,RAMPILLON
77384,RÉAU
77385,REBAIS
77386,RECLOSES
77387,REMAUVILLE
77388,REUIL-EN-BRIE
77389,LA ROCHETTE
77390,ROISSY-EN-BRIE
77391,ROUILLY
77392,ROUVRES
77393,ROZAY-EN-BRIE
77394,RUBELLES
77395,RUMONT
77396,RUPÉREUX
77397,SAÂCY-SUR-MARNE
77398,SABLONNIÈRES
77400,SAINT-AUGUSTIN
77401,SAINTE-AULDE
77402,SAINT-BARTHÉLEMY
77403,SAINT-BRICE
77404,SAINTE-COLOMBE
77405,SAINT-CYR-SUR-MORIN
77406,SAINT-DENIS-LÈS-REBAIS
77407,SAINT-FARGEAU-PONTHIERRY
77408,SAINT-FIACRE
77409,SAINT-GERMAIN-LAVAL
77410,SAINT-GERMAIN-LAXIS
77411,SAINT-GERMAIN-SOUS-DOUE
77412,SAINT-GERMAIN-SUR-ÉCOLE
77413,SAINT-GERMAIN-SUR-MORIN
77414,SAINT-HILLIERS
77415,SAINT-JEAN-LES-DEUX-JUMEAUX
77416,SAINT-JUST-EN-BRIE
77417,SAINT-LÉGER
77418,SAINT-LOUP-DE-NAUD
77419,SAINT-MAMMÈS
77420,SAINT-MARD
77421,SAINT-MARS-VIEUX-MAISONS
77423,SAINT-MARTIN-DES-CHAMPS
77424,SAINT-MARTIN-DU-BOSCHET
77425,SAINT-MARTIN-EN-BIÈRE
77426,SAINT-MÉRY
77427,SAINT-MESMES
77428,SAINT-OUEN-EN-BRIE
77429,SAINT-OUEN-SUR-MORIN
77430,SAINT-PATHUS
77431,SAINT-PIERRE-LÈS-NEMOURS
77432,SAINT-RÉMY-DE-LA-VANNE
77433,BEAUTHEIL-SAINTS
77434,SAINT-SAUVEUR-LÈS-BRAY
77435,SAINT-SAUVEUR-SUR-ÉCOLE
77436,SAINT-SIMÉON
77437,SAINT-SOUPPLETS
77438,SAINT-THIBAULT-DES-VIGNES
77439,SALINS
77440,SAMMERON
77441,SAMOIS-SUR-SEINE
77442,SAMOREAU
77443,SANCY
77444,SANCY-LÈS-PROVINS
77445,SAVIGNY-LE-TEMPLE
77446,SAVINS
77447,SEINE-PORT
77448,SEPT-SORTS
77449,SERRIS
77450,SERVON
77451,SIGNY-SIGNETS
77452,SIGY
77453,SIVRY-COURTRY
77454,SOGNOLLES-EN-MONTOIS
77455,SOIGNOLLES-EN-BRIE
77456,SOISY-BOUY
77457,SOLERS
77458,SOUPPES-SUR-LOING
77459,SOURDUN
77460,TANCROU
77461,THÉNISY
77462,THIEUX
77463,THOMERY
77464,THORIGNY-SUR-MARNE
77465,THOURY-FÉROTTES
77466,TIGEAUX
77467,LA TOMBE
77468,TORCY
77469,TOUQUIN
77470,TOURNAN-EN-BRIE
77471,TOUSSON
77472,LA TRÉTOIRE
77473,TREUZY-LEVELAY
77474,TRILBARDOU
77475,TRILPORT
77476,TROCY-EN-MULTIEN
77477,URY
77478,USSY-SUR-MARNE
77479,VAIRES-SUR-MARNE
77480,VALENCE-EN-BRIE
77481,VANVILLÉ
77482,VARENNES-SUR-SEINE
77483,VARREDDES
77484,VAUCOURTOIS
77485,LE VAUDOUÉ
77486,VAUDOY-EN-BRIE
77487,VAUX-LE-PÉNIL
77489,VAUX-SUR-LUNAIN
77490,VENDREST
77492,VERDELOT
77493,VERNEUIL-L'ÉTANG
77494,VERNOU-LA-CELLE-SUR-SEINE
77495,VERT-SAINT-DENIS
77496,VIEUX-CHAMPAGNE
77498,VIGNELY
77500,VILLEBÉON
77501,VILLECERF
77504,VILLEMARÉCHAL
77505,VILLEMAREUIL
77506,VILLEMER
77507,VILLENAUXE-LA-PETITE
77508,VILLENEUVE-LE-COMTE
77509,VILLENEUVE-LES-BORDES
77510,VILLENEUVE-SAINT-DENIS
77511,VILLENEUVE-SOUS-DAMMARTIN
77512,VILLENEUVE-SUR-BELLOT
77513,VILLENOY
77514,VILLEPARISIS
77515,VILLEROY
77516,VILLE-SAINT-JACQUES
77517,VILLEVAUDÉ
77518,VILLIERS-EN-BIÈRE
77519,VILLIERS-SAINT-GEORGES
77520,VILLIERS-SOUS-GREZ
77521,VILLIERS-SUR-MORIN
77522,VILLIERS-SUR-SEINE
77523,VILLUIS
77524,VIMPELLES
77525,VINANTES
77526,VINCY-MANŒUVRE
77527,VOINSLES
77528,VOISENON
77529,VOULANGIS
77530,VOULTON
77531,VOULX
77532,VULAINES-LÈS-PROVINS
77533,VULAINES-SUR-SEINE
77534,YÈBLES
78003,ABLIS
78005,ACHÈRES
78006,ADAINVILLE
78007,AIGREMONT
78009,ALLAINVILLE
78010,LES ALLUETS-LE-ROI
78013,ANDELU
78015,ANDRÉSY
78020,ARNOUVILLE-LÈS-MANTES
78029,AUBERGENVILLE
78030,AUFFARGIS
78031,AUFFREVILLE-BRASSEUIL
78033,AULNAY-SUR-MAULDRE
78034,AUTEUIL
78036,AUTOUILLET
78043,BAILLY
78048,BAZAINVILLE
78049,BAZEMONT
78050,BAZOCHES-SUR-GUYONNE
78053,BÉHOUST
78057,BENNECOURT
78062,BEYNES
78068,BLARU
78070,BOINVILLE-EN-MANTOIS
78071,BOINVILLE-LE-GAILLARD
78072,BOINVILLIERS
78073,BOIS-D'ARCY
78076,BOISSETS
78077,LA BOISSIÈRE-ÉCOLE
78082,BOISSY-MAUVOISIN
78084,BOISSY-SANS-AVOIR
78087,BONNELLES
78089,BONNIÈRES-SUR-SEINE
78090,BOUAFLE
78092,BOUGIVAL
78096,BOURDONNÉ
78104,BREUIL-BOIS-ROBERT
78107,BRÉVAL
78108,LES BRÉVIAIRES
78113,BRUEIL-EN-VEXIN
78117,BUC
78118,BUCHELAY
78120,BULLION
78123,CARRIÈRES-SOUS-POISSY
78124,CARRIÈRES-SUR-SEINE
78125,LA CELLE-LES-BORDES
78126,LA CELLE-SAINT-CLOUD
78128,CERNAY-LA-VILLE
78133,CHAMBOURCY
78138,CHANTELOUP-LES-VIGNES
78140,CHAPET
78143,CHÂTEAUFORT
78146,CHATOU
78147,CHAUFOUR-LÈS-BONNIÈRES
78152,CHAVENAY
78158,LE CHESNAY-ROCQUENCOURT
78160,CHEVREUSE
78162,CHOISEL
78163,CIVRY-LA-FORÊT
78164,CLAIREFONTAINE-EN-YVELINES
78165,LES CLAYES-SOUS-BOIS
78168,COIGNIÈRES
78171,CONDÉ-SUR-VESGRE
78172,CONFLANS-SAINTE-HONORINE
78185,COURGENT
78188,CRAVENT
78189,CRESPIÈRES
78190,CROISSY-SUR-SEINE
78192,DAMMARTIN-EN-SERVE
78193,DAMPIERRE-EN-YVELINES
78194,DANNEMARIE
78196,DAVRON
78202,DROCOURT
78206,ECQUEVILLY
78208,ÉLANCOURT
78209,ÉMANCÉ
78217,ÉPÔNE
78220,LES ESSARTS-LE-ROI
78224,L'ÉTANG-LA-VILLE
78227,ÉVECQUEMONT
78230,LA FALAISE
78231,FAVRIEUX
78233,FEUCHEROLLES
78234,FLACOURT
78236,FLEXANVILLE
78237,FLINS-NEUVE-ÉGLISE
78238,FLINS-SUR-SEINE
78239,FOLLAINVILLE-DENNEMONT
78242,FONTENAY-LE-FLEURY
78245,FONTENAY-MAUVOISIN
78246,FONTENAY-SAINT-PÈRE
78255,FRENEUSE
78261,GAILLON-SUR-MONTCIENT
78262,GALLUIS
78263,GAMBAIS
78264,GAMBAISEUIL
78265,GARANCIÈRES
78267,GARGENVILLE
78269,GAZERAN
78276,GOMMECOURT
78278,GOUPILLIÈRES
78281,GOUSSONVILLE
78283,GRANDCHAMP
78285,GRESSEY
78289,GROSROUVRE
78290,GUERNES
78291,GUERVILLE
78296,GUITRANCOURT
78297,GUYANCOURT
78299,HARDRICOURT
78300,HARGEVILLE
78302,LA HAUTEVILLE
78305,HERBEVILLE
78307,HERMERAY
78310,HOUDAN
78311,HOUILLES
78314,ISSOU
78317,JAMBVILLE
78320,NOTRE-DAME-DE-LA-MER
78321,JOUARS-PONTCHARTRAIN
78322,JOUY-EN-JOSAS
78324,JOUY-MAUVOISIN
78325,JUMEAUVILLE
78327,JUZIERS
78329,LAINVILLE-EN-VEXIN
78334,LÉVIS-SAINT-NOM
78335,LIMAY
78337,LIMETZ-VILLEZ
78343,LES LOGES-EN-JOSAS
78344,LOMMOYE
78346,LONGNES
78349,LONGVILLIERS
78350,LOUVECIENNES
78354,MAGNANVILLE
78356,MAGNY-LES-HAMEAUX
78358,MAISONS-LAFFITTE
78361,MANTES-LA-JOLIE
78362,MANTES-LA-VILLE
78364,MARCQ
78366,MAREIL-LE-GUYON
78367,MAREIL-MARLY
78368,MAREIL-SUR-MAULDRE
78372,MARLY-LE-ROI
78380,MAULE
78381,MAULETTE
78382,MAURECOURT
78383,MAUREPAS
78384,MÉDAN
78385,MÉNERVILLE
78389,MÉRÉ
78391,MÉRICOURT
78396,LE MESNIL-LE-ROI
78397,LE MESNIL-SAINT-DENIS
78398,LES MESNULS
78401,MEULAN-EN-YVELINES
78402,MÉZIÈRES-SUR-SEINE
78403,MÉZY-SUR-SEINE
78404,MILLEMONT
78406,MILON-LA-CHAPELLE
78407,MITTAINVILLE
78410,MOISSON
78413,MONDREVILLE
78415,MONTAINVILLE
78416,MONTALET-LE-BOIS
78417,MONTCHAUVET
78418,MONTESSON
78420,MONTFORT-L'AMAURY
78423,MONTIGNY-LE-BRETONNEUX
78431,MORAINVILLIERS
78437,MOUSSEAUX-SUR-SEINE
78439,MULCENT
78440,LES MUREAUX
78442,NEAUPHLE-LE-CHÂTEAU
78443,NEAUPHLE-LE-VIEUX
78444,NEAUPHLETTE
78451,NÉZEL
78455,NOISY-LE-ROI
78460,OINVILLE-SUR-MONTCIENT
78464,ORCEMONT
78465,ORGERUS
78466,ORGEVAL
78470,ORPHIN
78472,ORSONVILLE
78474,ORVILLIERS
78475,OSMOY
78478,PARAY-DOUAVILLE
78481,LE PECQ
78484,PERDREAUVILLE
78486,LE PERRAY-EN-YVELINES
78490,PLAISIR
78497,POIGNY-LA-FORÊT
78498,POISSY
78499,PONTHÉVRARD
78501,PORCHEVILLE
78502,LE PORT-MARLY
78505,PRUNAY-LE-TEMPLE
78506,PRUNAY-EN-YVELINES
78513,LA QUEUE-LES-YVELINES
78516,RAIZEUX
78517,RAMBOUILLET
78518,RENNEMOULIN
78520,RICHEBOURG
78522,ROCHEFORT-EN-YVELINES
78528,ROLLEBOISE
78530,ROSAY
78531,ROSNY-SUR-SEINE
78536,SAILLY
78537,SAINT-ARNOULT-EN-YVELINES
78545,SAINT-CYR-L'ÉCOLE
78548,SAINT-FORGET
78550,SAINT-GERMAIN-DE-LA-GRANGE
78551,SAINT-GERMAIN-EN-LAYE
78557,SAINT-HILARION
78558,SAINT-ILLIERS-LA-VILLE
78559,SAINT-ILLIERS-LE-BOIS
78561,SAINT-LAMBERT
78562,SAINT-LÉGER-EN-YVELINES
78564,SAINT-MARTIN-DE-BRÉTHENCOURT
78565,SAINT-MARTIN-DES-CHAMPS
78567,SAINT-MARTIN-LA-GARENNE
78569,SAINTE-MESME
78571,SAINT-NOM-LA-BRETÈCHE
78575,SAINT-RÉMY-LÈS-CHEVREUSE
78576,SAINT-RÉMY-L'HONORÉ
78586,SARTROUVILLE
78588,SAULX-MARCHAIS
78590,SENLISSE
78591,SEPTEUIL
78597,SOINDRES
78601,SONCHAMP
78605,TACOIGNIÈRES
78606,LE TARTRE-GAUDRAN
78608,LE TERTRE-SAINT-DENIS
78609,TESSANCOURT-SUR-AUBETTE
78615,THIVERVAL-GRIGNON
78616,THOIRY
78618,TILLY
78620,TOUSSUS-LE-NOBLE
78621,TRAPPES
78623,LE TREMBLAY-SUR-MAULDRE
78624,TRIEL-SUR-SEINE
78638,VAUX-SUR-SEINE
78640,VÉLIZY-VILLACOUBLAY
78642,VERNEUIL-SUR-SEINE
78643,VERNOUILLET
78644,LA VERRIÈRE
78646,VERSAILLES
78647,VERT
78650,LE VÉSINET
78653,VICQ
78655,VIEILLE-ÉGLISE-EN-YVELINES
78668,LA VILLENEUVE-EN-CHEVRIE
78672,VILLENNES-SUR-SEINE
78674,VILLEPREUX
78677,VILLETTE
78681,VILLIERS-LE-MAHIEU
78683,VILLIERS-SAINT-FRÉDÉRIC
78686,VIROFLAY
78688,VOISINS-LE-BRETONNEUX
91001,ABBÉVILLE-LA-RIVIÈRE
91016,ANGERVILLE
91017,ANGERVILLIERS
91021,ARPAJON
91022,ARRANCOURT
91027,ATHIS-MONS
91035,AUTHON-LA-PLAINE
91037,AUVERNAUX
91038,AUVERS-SAINT-GEORGES
91041,AVRAINVILLE
91044,BALLAINVILLIERS
91045,BALLANCOURT-SUR-ESSONNE
91047,BAULNE
91064,BIÈVRES
91067,BLANDY
91069,BOIGNEVILLE
91075,BOIS-HERPIN
91079,BOISSY-LA-RIVIÈRE
91080,BOISSY-LE-CUTTÉ
91081,BOISSY-LE-SEC
91085,BOISSY-SOUS-SAINT-YON
91086,BONDOUFLE
91093,BOULLAY-LES-TROUX
91095,BOURAY-SUR-JUINE
91097,BOUSSY-SAINT-ANTOINE
91098,BOUTERVILLIERS
91099,BOUTIGNY-SUR-ESSONNE
91100,BOUVILLE
91103,BRÉTIGNY-SUR-ORGE
91105,BREUILLET
91106,BREUX-JOUY
91109,BRIÈRES-LES-SCELLÉS
91111,BRIIS-SOUS-FORGES
91112,BROUY
91114,BRUNOY
91115,BRUYÈRES-LE-CHÂTEL
91121,BUNO-BONNEVAUX
91122,BURES-SUR-YVETTE
91129,CERNY
91130,CHALO-SAINT-MARS
91131,CHALOU-MOULINEUX
91132,CHAMARANDE
91135,CHAMPCUEIL
91136,CHAMPLAN
91137,CHAMPMOTTEUX
91145,CHATIGNONVILLE
91148,CHAUFFOUR-LÈS-ÉTRÉCHY
91156,CHEPTAINVILLE
91159,CHEVANNES
91161,CHILLY-MAZARIN
91174,CORBEIL-ESSONNES
91175,CORBREUSE
91179,LE COUDRAY-MONTCEAUX
91180,COURANCES
91184,COURDIMANCHE-SUR-ESSONNE
91186,COURSON-MONTELOUP
91191,CROSNE
91195,DANNEMOIS
91198,D'HUISON-LONGUEVILLE
91200,DOURDAN
91201,DRAVEIL
91204,ÉCHARCON
91207,ÉGLY
91215,ÉPINAY-SOUS-SÉNART
91216,ÉPINAY-SUR-ORGE
91223,ÉTAMPES
91225,ÉTIOLLES
91226,ÉTRÉCHY
91228,ÉVRY-COURCOURONNES
91232,LA FERTÉ-ALAIS
91235,FLEURY-MÉROGIS
91240,FONTAINE-LA-RIVIÈRE
91243,FONTENAY-LÈS-BRIIS
91244,FONTENAY-LE-VICOMTE
91247,LA FORÊT-LE-ROI
91248,LA FORÊT-SAINTE-CROIX
91249,FORGES-LES-BAINS
91272,GIF-SUR-YVETTE
91273,GIRONVILLE-SUR-ESSONNE
91274,GOMETZ-LA-VILLE
91275,GOMETZ-LE-CHÂTEL
91284,LES GRANGES-LE-ROI
91286,GRIGNY
91292,GUIBEVILLE
91293,GUIGNEVILLE-SUR-ESSONNE
91294,GUILLERVAL
91312,IGNY
91315,ITTEVILLE
91318,JANVILLE-SUR-JUINE
91319,JANVRY
91326,JUVISY-SUR-ORGE
91330,LARDY
91332,LEUDEVILLE
91333,LEUVILLE-SUR-ORGE
91338,LIMOURS
91339,LINAS
91340,LISSES
91345,LONGJUMEAU
91347,LONGPONT-SUR-ORGE
91359,MAISSE
91363,MARCOUSSIS
91374,MAROLLES-EN-BEAUCE
91376,MAROLLES-EN-HUREPOIX
91377,MASSY
91378,MAUCHAMPS
91386,MENNECY
91390,LE MÉRÉVILLOIS
91393,MÉROBERT
91399,MESPUITS
91405,MILLY-LA-FORÊT
91408,MOIGNY-SUR-ÉCOLE
91411,LES MOLIÈRES
91412,MONDEVILLE
91414,MONNERVILLE
91421,MONTGERON
91425,MONTLHÉRY
91432,MORANGIS
91433,MORIGNY-CHAMPIGNY
91434,MORSANG-SUR-ORGE
91435,MORSANG-SUR-SEINE
91441,NAINVILLE-LES-ROCHES
91457,LA NORVILLE
91458,NOZAY
91461,OLLAINVILLE
91463,ONCY-SUR-ÉCOLE
91468,ORMOY
91469,ORMOY-LA-RIVIÈRE
91471,ORSAY
91473,ORVEAU
91477,PALAISEAU
91479,PARAY-VIEILLE-POSTE
91482,PECQUEUSE
91494,LE PLESSIS-PÂTÉ
91495,PLESSIS-SAINT-BENOIST
91507,PRUNAY-SUR-ESSONNE
91508,PUISELET-LE-MARAIS
91511,PUSSAY
91514,QUINCY-SOUS-SÉNART
91519,RICHARVILLE
91521,RIS-ORANGIS
91525,ROINVILLE
91526,ROINVILLIERS
91533,SACLAS
91534,SACLAY
91538,SAINT-AUBIN
91540,SAINT-CHÉRON
91544,SAINT-CYR-LA-RIVIÈRE
91546,SAINT-CYR-SOUS-DOURDAN
91547,SAINT-ESCOBILLE
91549,SAINTE-GENEVIÈVE-DES-BOIS
91552,SAINT-GERMAIN-LÈS-ARPAJON
91553,SAINT-GERMAIN-LÈS-CORBEIL
91556,SAINT-HILAIRE
91560,SAINT-JEAN-DE-BEAUREGARD
91568,SAINT-MAURICE-MONTCOURONNE
91570,SAINT-MICHEL-SUR-ORGE
91573,SAINT-PIERRE-DU-PERRAY
91577,SAINTRY-SUR-SEINE
